1;'Bamling';'Illustrée';'80413 Norway Maple Junction';'366526';'Shalazhi';'5902798484';25107;25186;2034;13021;12722;23940;26233;20077;25955;26173
2;'Baish';'Mélodie';'85 Lillian Plaza';'';'Laocheng';'4413785812';19587;31111;76087;28960;9614;25552;76082;23445;19584;13425
3;'Stanning';'Eliès';'09 Troy Plaza';'';'Xomong';'9122415978';26073;26072;28205;7255;76085;20058;22011;26046;11121;13194
4;'Broseman';'Örjan';'6 Crowley Court';'679230';'Amurzet';'9632022037';24666;25955;25547;20506;13170;12325;13170;11016;25957;9331
5;'Nelane';'Aloïs';'0631 Center Circle';'792 92';'Mora';'3718772528';16737;25468;26214;19026;39515;25232;19667;25576;26047;25605
6;'Felce';'Zhì';'0 Loeprich Hill';'';'Fangxi';'1011312078';19671;28105;25131;20800;12045;20254;25231;24520;20240;19550
7;'Dombrell';'Styrbjörn';'29249 Mccormick Place';'';'Campechuela';'2691609915';9105;18028;13015;25553;7815;36035;25193;8602;25192;8429
8;'Whitecross';'Miléna';'14 Sunnyside Way';'1130';'Sydney';'3185020277';19060;23479;6259;26014;36301;24007;2077;10025;23830;6257
9;'Behnen';'Loïc';'5 Glendale Crossing';'';'Shalkar';'6866017306';21525;10064;9380;11029;19516;20138;25038;19648;5201;30051
10;'Giacopini';'Pål';'83122 Elka Junction';'36104';'Montgomery';'3349277053';25532;23589;21523;76065;25207;8201;26124;30125;19553;2017
11;'Tivers';'Pò';'57 Eggendart Avenue';'33209';'Gijon';'4746908813';23301;23121;18430;20590;13411;11068;25111;10017;28001;16415
12;'Roll';'Pénélope';'4 Hovde Drive';'3045-356';'Arzila';'6182725291';16411;12006;26174;4038;18152;6116;23909;26101;15027;11115
13;'Pierce';'Erwéi';'680 Eggendart Drive';'2765-366';'Livramento';'4778023426';40106;16725;24011;20057;23950;25124;7712;19694;20091;28501
14;'Dulwitch';'Lóng';'1219 Moulton Way';'3900';'Basco';'9626028793';18045;9109;25606;6904;76089;39517;18072;19563;26073;1022
15;'Gardener';'André';'98351 Jenifer Court';'548037';'Puerto Santander';'1029494785';19543;4014;31076;11094;17325;19013;19538;76007;6520;26126
16;'Weich';'Angèle';'03173 Corscot Center';'349-0115';'Hasuda';'5991048222';32013;31000;9322;11027;9901;36027;24680;9611;12325;12120
17;'Pietrzyk';'Clémentine';'39087 Huxley Lane';'333 24';'Smålandsstenar';'3547956565';8245;30797;31062;20022;10001;20498;76102;23080;28917;18023
18;'Lyptrit';'Rébecca';'93 Pine View Street';'';'Zhen’an';'2646274629';15203;38407;54500;26101;26260;19575;25154;25003;19675;2050
19;'Fantonetti';'Maëlle';'0 Clarendon Court';'';'Padangtepung';'6819965764';20257;19556;4032;31054;25224;2366;20253;7710;38105;18078
20;'Cobb';'Léonore';'69 Westport Lane';'6040-104';'Gavião';'5874590343';19534;20125;76093;25173;17126;30125;20813;19575;20165;18016
21;'Bridgen';'Marlène';'02 Hallows Drive';'';'Hualingang';'9656466052';20060;13432;26081;7811;30999;19548;31037;76088;20111;36041
22;'Petren';'Åslög';'7342 Sugar Point';'';'Xinchengpu';'7842991884';8083;23497;7744;40111;31060;19012;13171;28976;15007;15029
23;'Willcock';'Östen';'29252 Michigan Plaza';'';'Bahaodi';'8434107324';25185;24659;6100;6130;20247;11003;7160;30366;9824;26237
24;'Barfitt';'Aimée';'809 Carioca Parkway';'';'Kurn?z';'8818950799';20266;13405;17270;20285;20065;13128;25904;25405;4027;4090
25;'Fairpool';'Maëline';'01202 Crowley Pass';'61891 CEDEX 9';'Argentan';'6289892968';25542;13439;20809;31108;9533;2024;25971;15047;25234;2374
26;'Triggs';'Liè';'335 Kenwood Place';'29193 CEDEX';'Quimper';'6344297031';4101;12105;18041;18029;12523;10006;20510;9440;40056;25142
27;'Gatch';'Zhì';'85179 High Crossing Junction';'L-8273';'Mamer';'8332482804';24005;20044;20510;25141;2061;6160;6162;4030;18078;26232
28;'Townsend';'Pò';'20 Victoria Terrace';'';'Changtang';'1647283975';20264;11196;20832;8550;12113;20250;9435;24031;27023;20825
29;'Feria';'Mélys';'823 Nevada Crossing';'';'Pan?evo';'6175860984';11166;9345;31037;11167;13438;40202;5008;20535;40203;20026
30;'Telfer';'Célestine';'818 Lillian Trail';'';'Nepeña';'6419985732';24053;13426;20031;18044;28550;20321;26168;19695;12738;21524
31;'Fishenden';'Marie-thérèse';'15 Northview Park';'';'Funafuti';'6842242405';12121;76037;12736;26133;25462;23490;20502;38104;19624;26076
32;'Lowrance';'Laurène';'21041 Parkside Hill';'';'Ushirombo';'3986977023';58103;20540;20239;13056;13008;12819;19013;30311;24016;11120
